sku,name,price,url
2011SRYT,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2011SRYT.html
42162011,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/42162011.html
62012WWH,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/62012WWH.html
62011DNP,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/62011DNP.html
212ALBST,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/212ALBST.html
42110588,HOKA Bondi 7,$165.00,https://www.footlocker.com/product/hoka-bondi-7-mens/42110588.html
62011TMM,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/62011TMM.html
2011GSSL,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2011GSSL.html
2012CYWH,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/2012CYWH.html
2011OLTM,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2011OLTM.html
2014RLTT,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/2014RLTT.html
62014WWH,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/62014WWH.html
2013BWHT,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2013BWHT.html
2012FTCL,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/2012FTCL.html
014ALBST,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/014ALBST.html
2014CYWH,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/2014CYWH.html
2014BWHT,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/2014BWHT.html
2013SLHK,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2013SLHK.html
62011VYN,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/62011VYN.html
2014TLSL,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/2014TLSL.html
62014BTF,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-womens/62014BTF.html
42162771,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/42162771.html
2011SCCG,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2011SCCG.html
2011CYLT,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2011CYLT.html
2011WGRT,HOKA Bondi 9,$175.00,https://www.footlocker.com/product/hoka-bondi-9-mens/2011WGRT.html
KJ1365,adidas adiZero Evo SL,This item is on sale. Price dropped from $150.00 to $109.99$109.99$150.0027% off,https://www.footlocker.com/product/adidas-adizero-evo-sl-mens/KJ1365.html
D2722002,Nike Air Zoom Pegasus 41,This item is on sale. Price dropped from $145.00 to $99.99$99.99$145.0031% off,https://www.footlocker.com/product/nike-air-zoom-pegasus-41-mens/D2722002.html
10671014,On Cloudmonster Void,This item is on sale. Price dropped from $170.00 to $129.99$129.99$170.0024% off,https://www.footlocker.com/product/on-cloudmonster-void-mens/10671014.html
6199025,On Cloudmonster,This item is on sale. Price dropped from $170.00 to $139.99$139.99$170.0018% off,https://www.footlocker.com/product/on-cloudmonster-mens/6199025.html
10445089,Brooks Glycerin 22,This item is on sale. Price dropped from $165.00 to $124.99$124.99$165.0024% off,https://www.footlocker.com/product/brooks-glycerin-22-mens/10445089.html
10132661,On Cloudswift 4,This item is on sale. Price dropped from $170.00 to $129.99$129.99$170.0024% off,https://www.footlocker.com/product/on-cloudswift-4-mens/10132661.html
2030BBLC,HOKA Clifton 10,$155.00,https://www.footlocker.com/product/hoka-clifton-10-mens/2030BBLC.html
KJ1364,adidas adiZero Evo SL,This item is on sale. Price dropped from $150.00 to $119.99$119.99$150.0020% off,https://www.footlocker.com/product/adidas-adizero-evo-sl-mens/KJ1364.html
N0228009,Nike Journey Run,$95.00,https://www.footlocker.com/product/nike-journey-run-mens/N0228009.html
M2002RBL,New Balance 2002R,This item is on sale. Price dropped from $145.00 to $99.99$99.99$145.0031% off,https://www.footlocker.com/product/new-balance-2002r-mens/M2002RBL.html
D2722115,Nike Air Zoom Pegasus 41,This item is on sale. Price dropped from $145.00 to $119.99$119.99$145.0017% off,https://www.footlocker.com/product/nike-air-zoom-pegasus-41-mens/D2722115.html
JP7149,adidas adiZero Evo SL,$150.00,https://www.footlocker.com/product/adidas-adizero-evo-sl-mens/JP7149.html
N0149001,Nike P-6000,$125.00,https://www.footlocker.com/product/nike-p-6000-mens/N0149001.html
6197657,On Cloudmonster,This item is on sale. Price dropped from $170.00 to $139.99$139.99$170.0018% off,https://www.footlocker.com/product/on-cloudmonster-mens/6197657.html
JH6206,adidas adiZero Evo SL,$150.00,https://www.footlocker.com/product/adidas-adizero-evo-sl-mens/JH6206.html
D2722119,Nike Air Zoom Pegasus 41,$145.00,https://www.footlocker.com/product/nike-air-zoom-pegasus-41-mens/D2722119.html
4451D078,Brooks Glycerin 22,This item is on sale. Price dropped from $165.00 to $124.99$124.99$165.0024% off,https://www.footlocker.com/product/brooks-glycerin-22-mens/4451D078.html
04133050,Nike Air Max Plus,$190.00,https://www.footlocker.com/product/nike-air-max-plus-mens/04133050.html
KH9858,adidas adiZero Evo SL,$150.00,https://www.footlocker.com/product/adidas-adizero-evo-sl-mens/KH9858.html
10572303,On Cloudswift 4 AD,This item is on sale. Price dropped from $170.00 to $129.99$129.99$170.0024% off,https://www.footlocker.com/product/on-cloudswift-4-ad-mens/10572303.html
4681D072,Brooks Revel 8,$100.00,https://www.footlocker.com/product/brooks-revel-8-mens/4681D072.html
1B974002,ASICS® Novablast 5,$150.00,https://www.footlocker.com/product/asics-novablast-5-mens/1B974002.html
D2722215,Nike Air Zoom Pegasus 41,$145.00,https://www.footlocker.com/product/nike-air-zoom-pegasus-41-mens/D2722215.html
62030VCK,HOKA Clifton 10,$155.00,https://www.footlocker.com/product/hoka-clifton-10-mens/62030VCK.html
M1906RER,New Balance 1906R,$155.00,https://www.footlocker.com/product/new-balance-1906r-mens/M1906RER.html
42101184,ASICS® Novablast 5,$150.00,https://www.footlocker.com/product/asics-novablast-5-mens/42101184.html
KK3673,adidas adiZero Evo SL,$150.00,https://www.footlocker.com/product/adidas-adizero-evo-sl-mens/KK3673.html
10445135,Brooks Glycerin 22,This item is on sale. Price dropped from $165.00 to $124.99$124.99$165.0024% off,https://www.footlocker.com/product/brooks-glycerin-22-mens/10445135.html
JQ4440,adidas adiZero Evo SL,$150.00,https://www.footlocker.com/product/adidas-adizero-evo-sl-mens/JQ4440.html
4681D476,Brooks Revel 8,$100.00,https://www.footlocker.com/product/brooks-revel-8-mens/4681D476.html
V1358003,Nike Vomero 5,$170.00,https://www.footlocker.com/product/nike-vomero-5-mens/V1358003.html
4641D488,Brooks Ghost Max 3,$160.00,https://www.footlocker.com/product/brooks-ghost-max-3-mens/4641D488.html
